image,epsilon,k,energy,psnr,rel_change,time_ms
barbara,0.004999999888,19,389.4896288,25.04083801,8.889782761e-05,2354.3466
barbara,0.004999999888,20,389.4850534,25.03933142,7.24056837e-05,2479.297
barbara,0.004999999888,21,389.4815878,25.0381323,5.926507021e-05,2604.3638
barbara,0.004999999888,22,389.4789394,25.03717396,4.873501298e-05,2729.1776
barbara,0.004999999888,23,389.4768988,25.03640474,4.024449832e-05,2847.0634
barbara,0.004999999888,24,389.4753154,25.03578584,3.336193989e-05,2962.1839
barbara,0.004999999888,25,389.4740811,25.03528597,2.77507135e-05,3088.3094
barbara,0.009999999776,0,975.1064,20.09411666,0,0
barbara,0.009999999776,1,502.5641304,25.1026068,0.1175842483,130.6282
barbara,0.009999999776,2,426.2002202,25.72096518,0.03704370533,260.021
barbara,0.009999999776,3,405.2448093,25.61358097,0.01641402083,388.5968
barbara,0.009999999776,4,397.8869976,25.47181845,0.008484793462,516.8787
barbara,0.009999999776,5,394.8753047,25.36881176,0.004823830846,645.3563
barbara,0.009999999776,6,393.5000642,25.29933402,0.002930939,772.4247
barbara,0.009999999776,7,392.8174564,25.25269474,0.001871106627,896.4109
barbara,0.009999999776,8,392.4552172,25.22104645,0.0012406021,1016.626
barbara,0.009999999776,9,392.2521586,25.19927151,0.0008472958219,1142.0513
barbara,0.009999999776,10,392.1330739,25.18408841,0.0005924974169,1274.6411
barbara,0.009999999776,11,392.0605597,25.17337485,0.0004223056165,1384.5804
barbara,0.009999999776,12,392.0149904,25.16573556,0.0003057644362,1503.2193
barbara,0.009999999776,13,391.9855863,25.16023971,0.0002243037028,1624.5717
barbara,0.009999999776,14,391.9661807,25.15625424,0.0001663822573,1743.128
barbara,0.009999999776,15,391.9531265,25.15334456,0.0001246043803,1866.8662
barbara,0.009999999776,16,391.9441982,25.15120709,9.409513251e-05,1995.2132
barbara,0.009999999776,17,391.9380042,25.14962847,7.158090661e-05,2116.2081
barbara,0.009999999776,18,391.9336529,25.14845709,5.480784404e-05,2240.4493
barbara,0.009999999776,19,391.9305611,25.14758388,4.221499975e-05,2356.905
barbara,0.009999999776,20,391.9283421,25.14693066,3.268933366e-05,2483.1681
barbara,0.009999999776,21,391.926737,25.14643967,2.543767763e-05,2605.3375
barbara,0.009999999776,22,391.925567,25.14606989,1.988299027e-05,2730.268
barbara,0.009999999776,23,391.9247059,25.14578999,1.560608735e-05,2854.4165
barbara,0.009999999776,24,391.924069,25.14557787,1.229793413e-05,2990.0472
barbara,0.009999999776,25,391.9235951,25.14541657,9.725568726e-06,3117.302
barbara,0.01999999955,0,975.1064,20.09411666,0,0
barbara,0.01999999955,1,503.1399829,25.09941737,0.117384747,127.9713
barbara,0.01999999955,2,428.1544489,25.73168492,0.03620642098,259.7426
barbara,0.01999999955,3,408.450669,25.65396781,0.01530059435,386.1011
barbara,0.01999999955,4,401.940575,25.54101847,0.007426650125,508.4968
barbara,0.01999999955,5,399.4524593,25.46195849,0.003936787066,626.2394
barbara,0.01999999955,6,398.3909593,25.41152216,0.002226050383,749.1393
barbara,0.01999999955,7,397.897283,25.37976216,0.001321797925,872.2628
barbara,0.01999999955,8,397.6513735,25.35965537,0.0008146843949,997.5947
barbara,0.01999999955,9,397.5219526,25.34680411,0.0005167469719,1118.6115
barbara,0.01999999955,10,397.4507431,25.33850916,0.0003352036669,1242.7893
barbara,0.01999999955,11,397.4101251,25.33310717,0.0002213588451,1372.6939
barbara,0.01999999955,12,397.3862607,25.32956142,0.0001483209876,1494.128
barbara,0.01999999955,13,397.3718925,25.32721797,0.0001005942867,1623.582
barbara,0.01999999955,14,397.3630631,25.32566015,6.89327776e-05,1755.0291
barbara,0.01999999955,15,397.3575451,25.32461864,4.766253669e-05,1888.9771
barbara,0.01999999955,16,397.3540431,25.3239191,3.321661095e-05,2009.617
barbara,0.01999999955,17,397.3517923,25.32344741,2.331468956e-05,2152.7138
barbara,0.01999999955,18,397.3503316,25.32312809,1.646951861e-05,2296.7833
barbara,0.01999999955,19,397.3493722,25.32291083,1.170338271e-05,2422.1044
barbara,0.01999999955,20,397.3487378,25.32276309,8.362976744e-06,2535.2045
barbara,0.01999999955,21,397.3483152,25.3226619,6.005380855e-06,2655.6984
barbara,0.01999999955,22,397.3480323,25.32259251,4.33432349e-06,2778.8178
barbara,0.01999999955,23,397.3478405,25.32254473,3.141795635e-06,2902.7105
barbara,0.01999999955,24,397.3477106,25.32251184,2.288867243e-06,3026.9874
barbara,0.01999999955,25,397.3476222,25.3224891,1.675036353e-06,3145.3532
barbara,0.05000000075,0,975.1064,20.09411666,0,0
barbara,0.05000000075,1,506.7869987,25.07262521,0.1161827842,124.9978
barbara,0.05000000075,2,437.8997235,25.73785448,0.03273931286,252.3631
barbara,0.05000000075,3,422.1563329,25.7359965,0.01186075415,382.5853
barbara,0.05000000075,4,417.7264726,25.68790065,0.004838431513,507.5666
barbara,0.05000000075,5,416.2796135,25.65567815,0.0021548127,637.1329
barbara,0.05000000075,6,415.7503452,25.63756877,0.001025232088,763.3403
barbara,0.05000000075,7,415.5395081,25.62780364,0.0005120579948,875.3083
barbara,0.05000000075,8,415.4499186,25.62259129,0.0002651089802,989.371
barbara,0.05000000075,9,415.4099077,25.61981038,0.000141071695,1116.4223
barbara,0.05000000075,10,415.3913307,25.61832248,7.672420298e-05,1233.9323
barbara,0.05000000075,11,415.3824319,25.61752329,4.249352193e-05,1345.2443
barbara,0.05000000075,12,415.3780603,25.61709211,2.391019672e-05,1466.854
barbara,0.05000000075,13,415.3758675,25.61685862,1.364802034e-05,1596.7077
barbara,0.05000000075,14,415.3747476,25.61673158,7.895511784e-06,1728.1709
barbara,0.05000000075,15,415.374168,25.61666215,4.62570801e-06,1855.8238
barbara,0.05000000075,16,415.3738635,25.61662404,2.744576569e-06,1980.3302
barbara,0.05000000075,17,415.3737021,25.6166032,1.648063356e-06,2135.1744
barbara,0.05000000075,18,415.3736156,25.61659164,1.003053939e-06,2255.584
barbara,0.05000000075,19,415.373569,25.61658522,6.19950086e-07,2381.7809
barbara,0.05000000075,20,415.3735433,25.61658156,3.914274979e-07,2511.3616
barbara,0.05000000075,21,415.3735288,25.61657971,2.57378492e-07,2637.3359
barbara,0.05000000075,22,415.3735211,25.61657863,1.798167013e-07,2764.7176
barbara,0.05000000075,23,415.3735164,25.61657801,1.384010005e-07,2878.3338
barbara,0.05000000075,24,415.3735142,25.61657769,1.174127849e-07,2995.7051
barbara,0.05000000075,25,415.3735124,25.61657748,1.084568011e-07,3115.0173
barbara,0.1000000015,0,975.1064,20.09411666,0,0
barbara,0.1000000015,1,517.1625849,24.97620412,0.1128766643,114.047
barbara,0.1000000015,2,459.7378767,25.63938739,0.026576656,226.6749
barbara,0.1000000015,3,449.229825,25.69711044,0.00756590787,343.6512
barbara,0.1000000015,4,446.8576718,25.69419248,0.002430867051,462.4279
barbara,0.1000000015,5,446.2340928,25.689075,0.0008582426896,580.746
barbara,0.1000000015,6,446.0513531,25.68629032,0.0003243543293,698.2266
barbara,0.1000000015,7,445.993414,25.68501111,0.0001287789666,817.1825
barbara,0.1000000015,8,445.9739288,25.68445527,5.306639043e-05,949.3941
barbara,0.1000000015,9,445.9670698,25.68421896,2.252066764e-05,1062.3857
barbara,0.1000000015,10,445.9645652,25.68411941,9.79410406e-06,1188.6671
barbara,0.1000000015,11,445.9636222,25.68407753,4.350137533e-06,1369.0769
barbara,0.1000000015,12,445.9632587,25.68405987,1.969583922e-06,1518.963
barbara,0.1000000015,13,445.9631153,25.68405243,9.082388129e-07,1630.6837
barbara,0.1000000015,14,445.9630581,25.68404923,4.304388056e-07,1760.7243
barbara,0.1000000015,15,445.9630351,25.68404792,2.148175778e-07,1886.9997
barbara,0.1000000015,16,445.9630248,25.68404735,1.237202229e-07,1997.1018
barbara,0.1000000015,17,445.963019,25.68404711,9.027184214e-08,2096.7259
barbara,0.1000000015,18,445.9630187,25.68404701,8.082011896e-08,2205.2391
barbara,0.1000000015,19,445.9630178,25.68404701,7.718758945e-08,2309.4681
barbara,0.1000000015,20,445.9630176,25.68404694,7.618571958e-08,2415.7376
